||||||||
SEMESTRE 1|Intitulé de l’UE ou EC|COEF|ECTS|Nb d’heures d’enseignement 
en présentiel pour l’étudiant||||
||||CM|TD|Effectif
étudiants par groupe|TP|Effectif
étudiants par groupe
UE 41 obligatoire|Programmation fonctionnelle|6|6|20|40|30||
UE 42 obligatoire|Algorithmique et combinatoire des structures discrètes|6|6|20|30|30||
UE 42 obligatoire|Projet informatique 2 
(Conception et projet)|5|5|10|||30|20
     UE 43 obligatoire|Probabilités|5|5||40CTD||30|
     UE 44 obligatoire|Anglais 4|3|3||25CTD|30||
UE 45 choix d'un enseignement parmi ||||||||
EC 46.A obligatoire|Bases du système comptable|5|5||30CTD|30||
EC 46.B obligatoire|Programmation impérative|5|5|10|20|||
TOTAL S4||30|30|50/60|135/125||60|
||||||||
SEMESTRE 5 – parcours informatique|Intitulé de l’UE ou EC|COEF|ECTS|Nb d’heures d’enseignement 
en présentiel pour l’étudiant||||
||||CM|TD|Effectif
étudiants par groupe|CTP|Effectif
étudiants par groupe
UE 51 obligatoire|Mise à niveau informatique - PRL|0|0||||35|24
UE 52 obligatoire|Programmation avancée et structures dynamiques|5|5|18|30|40||
UE 53 obligatoire|Réseaux|4|4|16|12|40|12|24
     UE 54 obligatoire|Analyse des algorithmes|5|5|16|24|40||
     UE 55 obligatoire|Programmation linéaire|4|4|14|20|40|4|24
UE 56 obligatoire |Logique|3|3|12|18|40||
UE 57 obligatoire |Systèmes d’information|3|3|12|12|40|6|24
UE 58 obligatoire |Anglais 5|3|3||25|30||
UE 59 obligatoire |Ouverture|3|3||-22|||
TOTAL S4||30|30|88|141||57|
||||||||
SEMESTRE 5 – parcours MIAGE|Intitulé de l’UE ou EC|COEF|ECTS|Nb d’heures d’enseignement 
en présentiel pour l’étudiant||||
||||CM|TD|Effectif
étudiants par groupe|CTP|Effectif
étudiants par groupe
UE 51 obligatoire – PRL|Mise à niveau Informatique |0|0||||35|24
UE 52 obligatoire|Programmation avancée et structures dynamiques|4|4|18|30|40||
UE 53  obligatoire|Réseaux|4|4|16|12|40|12|24
UE 54 obligatoire|Analyse et conception des SI|4|4|22|20|40|6|24
UE 55 obligatoire|Statistiques|3|3|6||40|24|24
UE 56 obligatoire|Recherche Opérationnelle|3|3|16|24|40||
UE 57 obligatoire|Gestion comptable|3|3|35||40||
UE 58 obligatoire|Anglais et techniques de communication|4|4||48|30||
UE 59 obligatoire|Projet informatique|3|3||6|||
UE 510 obligatoire|Projet personnel et professionnel|2|2|10|10|30||
TOTAL S5||30|30|123|140||77|
||||||||
SEMESTRE 5 – parcours E-MIAGE (FOAD)|Intitulé de l’UE ou EC|COEF|ECTS|Nb d’heures d’enseignement 
en présentiel pour l’étudiant||||
||||CM|TD|Effectif
étudiants par groupe|TP|Effectif
étudiants par groupe
UE 51 obligatoire|Programmation mathématique et optimisation - B105|4|4|||||
UE 52  obligatoire|Bases de données relationnelles - 
B210|4|4|||||
UE 53 obligatoire|Programmation orientée objet - 
B211|4|4|||||
UE 54 obligatoire|Bases des télécommunications - 
B222|4|4|||||
UE 55 obligatoire|Méthodes systémiques d'analyse et de conception - B302|4|4|||||
UE 56 obligatoire|Projet de conception - B304|3|3|||||
UE 57 obligatoire|Marketing - B405|4|4|||||
UE 58 choix d’un enseignement parmi 2||||||||
|Analyse numérique B109 – 
choix 1|3|3|||||
|Théorie des graphes et combinatoire B104 - choix 2|3|3|||||
TOTAL S5||30|30|||||
||||||||
SEMESTRE 6 – parcours informatique|Intitulé de l’UE ou EC|COEF|ECTS|Nb d’heures d’enseignement 
en présentiel pour l’étudiant||||
||||CM|TD|Effectif
étudiants par groupe|CTP|Effectif
étudiants par groupe
UE 61 obligatoire – PRL|Renforcement POO|0|0||||12|24
UE 62 obligatoire|Génie Logiciel|5|5|12|20|40|4|24
UE 63 obligatoire|Bases de données|4|4|12|20|40|8|24
UE 64 obligatoire|
Théorie des langages|4|4|14|26|40||
UE 65 obligatoire|Projet informatique 3|6|6|6||||
UE 66 obligatoire|Anglais 6|3|3||25|30||
UE 69 obligatoire|Stage ou projet fin d'études|8|8|||||
TOTAL S6||30|30|44|91||24|
||||||||
SEMESTRE 6 – parcours MIAGE|Intitulé de l’UE ou EC|COEF|ECTS|Nb d’heures d’enseignement 
en présentiel pour l’étudiant||||
||||CM|TD|Effectif
étudiants par groupe|CTP|Effectif
étudiants par groupe
UE 61 obligatoire – PRL|Renforcement POO Java|0|0||||12|24
UE 62 obligatoire|Génie Logiciel|4|4|12|20|40|4|24
UE 63 obligatoire|Bases de données|4|4|12|20|40|8|24
UE 64 obligatoire|
Programmation des SI|4|4|20|||20|24
UE 65 obligatoire|Environnement économique de l'entreprise|3|3|24||||
UE 66 obligatoire|Droit|3|3|24||||
UE 67 obligatoire|Anglais|3|3||24|30||
UE 68 obligatoire|Projet informatique|3|3|||||
UE 69 obligatoire|Stage ou projet fin d'études|6|6|||||
TOTAL S6||30|30|92|64||44|
||||||||
SEMESTRE 6 – parcours E-MIAGE (FOAD)|Intitulé de l’UE ou EC|COEF|ECTS|Nb d’heures d’enseignement 
en présentiel pour l’étudiant||||
||||CM|TD|Effectif
étudiants par groupe|TP|Effectif
étudiants par groupe
UE 61 obligatoire|Systèmes informatiques - B208|3|3|||||
UE 62 obligatoire|Automates et langages – B209|3|3|||||
UE 63 obligatoire|Gestion de projet – B303|3|3|||||
UE 64 obligatoire|Projet de programmation – B213|3|3|||||
     UE 65  obligatoire|Gestion de production – B407|3|3|||||
     UE 66 obligatoire|Communication en entreprise – B503|3|3|||||
     UE 67 obligatoire|Anglais – B504|3|3|||||
     UE 68 obligatoire|Professionnalisation – B602|9|9|||||
TOTAL S6||30|30|||||
